file,model,mask,dataset,rows,split_counts,test_stored_rows,test_mask_cells,test_unmatched,test_cells_nonfinite_pred,coverage,recomputed,sha256,in_frozen_table,in_multiseed_table,frozen_mae,frozen_r2,d_mae,d_r2,status
B0_station_mean__e1_r20_seed42.parquet,B0_station_mean,e1_r20_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.5017077640632137, 'r2': 0.26543246681301336, 'rmse': 6.599899523898406, 'n': 6610}",c4d6c92edb9262aa6d6b5531a8a448fe235200902a317dd07bf58c3deffe603f,True,False,1.5017077640632135,0.2654324708438793,2.220446049250313e-16,-4.030865918824844e-09,verified
B0_station_mean__e1_r20_seed43.parquet,B0_station_mean,e1_r20_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.3921340105363014, 'r2': 0.5730884030812196, 'rmse': 3.1478631193719973, 'n': 6610}",101df20ca12426ee51e2f8f0fe1c6f4ce48b8c3418aa5563abdee01f510a170a,True,False,1.3921340105363014,0.5730883766410337,0.0,2.6440185818543682e-08,verified
B0_station_mean__e1_r20_seed44.parquet,B0_station_mean,e1_r20_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 23794, 'test': 6610, 'val': 2644}",6610,6610,0,0,1.0,"{'mae': 1.4814824506771658, 'r2': 0.4408385827569581, 'rmse': 4.464733890334174, 'n': 6610}",2ebb77a346014b325123115cbb06163b71a686022cb65f31de651d6a83f719de,True,False,1.481482450677166,0.4408385656434399,-2.220446049250313e-16,1.7113518213651702e-08,verified
B0_station_mean__e1_r40_seed42.parquet,B0_station_mean,e1_r40_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.517951820037172, 'r2': 0.24038443108062335, 'rmse': 6.818363967332452, 'n': 13219}",6c52684d46c9b2575a03fb2781b9e46840f84b854442610a47a160a7cbc09a29,True,False,1.517951820037172,0.2403844135391485,0.0,1.7541474855997663e-08,verified
B0_station_mean__e1_r40_seed43.parquet,B0_station_mean,e1_r40_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.4647581377605474, 'r2': 0.3700295301050851, 'rmse': 5.059808283443589, 'n': 13219}",c1bd4b92f284b0f42dd3bc3afb151727d6dc9474c4a96e358c86611a1e046a81,True,False,1.4647581377605474,0.370029500853225,0.0,2.9251860100831806e-08,verified
B0_station_mean__e1_r40_seed44.parquet,B0_station_mean,e1_r40_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'train': 17846, 'test': 13219, 'val': 1983}",13219,13219,0,0,1.0,"{'mae': 1.4510844256741955, 'r2': 0.45890836137370694, 'rmse': 4.173186514093086, 'n': 13219}",da127d70e0f5fef565c86ee980b343ca145abea21bec7c7a9e2cdf5631e0fe8d,True,False,1.4510844256741957,0.4589083500188062,-2.220446049250313e-16,1.135490074188894e-08,verified
B0_station_mean__e1_r60_seed42.parquet,B0_station_mean,e1_r60_seed42,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.5072009243595024, 'r2': 0.2885783169599204, 'rmse': 5.9160485795308055, 'n': 19829}",7406543948b3f06db687850a9aa3305f5727eab78b7eaa840bee21ee422af9df,True,False,1.507200924359502,0.2885783189041959,4.440892098500626e-16,-1.9442754628506975e-09,verified
B0_station_mean__e1_r60_seed43.parquet,B0_station_mean,e1_r60_seed43,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.4610441310483984, 'r2': 0.4095625272262047, 'rmse': 4.600531266276013, 'n': 19829}",c1a243072faae7fed01fdf9b36c285313cdd88b1e5e3635a4e10497d98497913,True,False,1.4610441310483984,0.40956252928815,0.0,-2.0619453366954588e-09,verified
B0_station_mean__e1_r60_seed44.parquet,B0_station_mean,e1_r60_seed44,data/processed/mississippi_graph_v02.pt,33048,"{'test': 19829, 'train': 11897, 'val': 1322}",19829,19829,0,0,1.0,"{'mae': 1.4773592148464412, 'r2': 0.3386609398055086, 'rmse': 5.341451021142438, 'n': 19829}",544e6dbd1b8cda8c087a813a7c223f22ccd0b7a8a3d5eb045c91ec917ee0adcc,True,False,1.4773592148464412,0.338660985888546,0.0,-4.608303738606878e-08,verified
B0_station_mean__e2a_strict.parquet,B0_station_mean,e2a_strict,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 3184}",3184,3184,0,0,1.0,"{'mae': 1.137258447512378, 'r2': 0.24743338857416863, 'rmse': 1.7293503755786406, 'n': 3184}",15ff1976cdd568049363e006f90d97f0982c6e40eb4713f8f6153c578cd2a64f,True,False,1.137258447512378,0.2474334121085136,0.0,-2.353434497281981e-08,verified
B0_station_mean__e2b_partial.parquet,B0_station_mean,e2b_partial,data/processed/mississippi_graph_v02.pt,33048,"{'train': 25771, 'val': 4093, 'test': 2547, 'context': 637}",2547,2547,0,0,1.0,"{'mae': 1.1198472517259095, 'r2': 0.2344506174647918, 'rmse': 1.6977579332674817, 'n': 2547}",dc916dc97f15da2d153377d345bd0a82183988f9e7f79868a94179e931f28436,True,False,1.1198472517259097,0.2344505642444002,-2.220446049250313e-16,5.322039159372238e-08,verified
