file,model,mask,rows,test_mask_cells,test_unmatched,coverage,recomputed_mae,recomputed_r2,recomputed_n,frozen_mae,frozen_r2,d_mae,d_r2,matches_frozen
G0_gcn_none__e1_r20_seed42.parquet,G0_gcn_none,e1_r20_seed42,33048,6610,0,1.0,1.822688658350625,0.16903865899171988,6610,1.822688698768616,0.1690386258374927,-4.041799095411136e-08,3.315422716920757e-08,True
G0_gcn_none__e1_r20_seed43.parquet,G0_gcn_none,e1_r20_seed43,33048,6610,0,1.0,1.6969450071442775,0.41288717266502817,6610,1.696945071220398,0.4128871072507291,-6.40761204095952e-08,6.54142990885731e-08,True
G0_gcn_none__e1_r20_seed44.parquet,G0_gcn_none,e1_r20_seed44,33048,6610,0,1.0,1.806695063423461,0.2814480462240391,6610,1.8066951036453247,0.2814480323889732,-4.0221863617517783e-08,1.3835065870715368e-08,True
G0_gcn_none__e1_r40_seed42.parquet,G0_gcn_none,e1_r40_seed42,33048,13219,0,1.0,1.8273406377356274,0.15951413714597695,13219,1.8273407220840452,0.1595141532762887,-8.434841780591285e-08,-1.613031175295987e-08,True
G0_gcn_none__e1_r40_seed43.parquet,G0_gcn_none,e1_r40_seed43,33048,13219,0,1.0,1.8390949857163712,0.2747919140566807,13219,1.8390949964523315,0.2747919005124597,-1.0735960342955764e-08,1.3544220966998921e-08,True
G0_gcn_none__e1_r40_seed44.parquet,G0_gcn_none,e1_r40_seed44,33048,13219,0,1.0,1.7837999556671564,0.3390014782077657,13219,1.7837998867034912,0.3390014517220699,6.896366522290975e-08,2.648569580321336e-08,True
G0_gcn_none__e1_r60_seed42.parquet,G0_gcn_none,e1_r60_seed42,33048,19829,0,1.0,1.8705921231887994,0.18316664305199448,19829,1.8705919981002808,0.1831667601635944,1.2508851865433712e-07,-1.1711159991767417e-07,True
G0_gcn_none__e1_r60_seed43.parquet,G0_gcn_none,e1_r60_seed43,33048,19829,0,1.0,1.798249862208144,0.26134097939648815,19829,1.7982498407363892,0.2613410153683199,2.147175481859165e-08,-3.597183173553731e-08,True
G0_gcn_none__e1_r60_seed44.parquet,G0_gcn_none,e1_r60_seed44,33048,19829,0,1.0,1.955210972124377,0.14772421797897162,19829,1.955211043357849,0.1477242597965679,-7.12334720098795e-08,-4.181759627464032e-08,True
G0_gcn_none__e2a_strict.parquet,G0_gcn_none,e2a_strict,33048,3184,0,1.0,1.152647103037891,0.3244585375828841,3184,1.1526471376419067,0.3244585615616334,-3.460401565291704e-08,-2.397874926396426e-08,True
G0_gcn_none__e2b_partial.parquet,G0_gcn_none,e2b_partial,33048,2547,0,1.0,1.1304528049899403,0.3340108533386451,2547,1.1304527521133425,0.3340108349339092,5.287659776698206e-08,1.8404735901977887e-08,True
G0_gcn_none__e3_spatial_seed42.parquet,G0_gcn_none,e3_spatial_seed42,33048,5068,0,1.0,1.5440100645991932,0.3087454924626326,5068,1.544010043144226,0.3087454840105809,2.145496713623629e-08,8.452051725171827e-09,True
G0_gcn_none__e3_spatial_seed43.parquet,G0_gcn_none,e3_spatial_seed43,33048,4004,0,1.0,2.2848437577616294,0.04865675077947185,4004,2.284843921661377,0.04865672380083,-1.638997475517101e-07,2.697864184830756e-08,True
G0_gcn_none__e3_spatial_seed44.parquet,G0_gcn_none,e3_spatial_seed44,33048,4909,0,1.0,1.9679634623300837,0.3094415796908029,4909,1.967963457107544,0.3094417121577012,5.222539734006659e-09,-1.324668983393451e-07,True
G0_gcn_random__e1_r20_seed42.parquet,G0_gcn_random,e1_r20_seed42,33048,6610,0,1.0,2.058394380398489,0.1208866862535336,6610,2.058394193649292,0.1208867624092746,1.8674919699535053e-07,-7.61557409911795e-08,True
G0_gcn_random__e1_r20_seed43.parquet,G0_gcn_random,e1_r20_seed43,33048,6610,0,1.0,1.956348314084417,0.2490507356645978,6610,1.956348419189453,0.2490506842833483,-1.051050360079131e-07,5.138124947734468e-08,True
G0_gcn_random__e1_r20_seed44.parquet,G0_gcn_random,e1_r20_seed44,33048,6610,0,1.0,2.2393711962515934,0.0954366155718428,6610,2.2393712997436523,0.0954366176338167,-1.0349205892268287e-07,-2.0619738971827672e-09,True
G0_gcn_random__e1_r40_seed42.parquet,G0_gcn_random,e1_r40_seed42,33048,13219,0,1.0,2.161359400852328,0.08641524954454727,13219,2.1613593101501465,0.0864151198185112,9.070218132123387e-08,1.2972603606609123e-07,True
G0_gcn_random__e1_r40_seed43.parquet,G0_gcn_random,e1_r40_seed43,33048,13219,0,1.0,2.05962791652946,0.1643091803443978,13219,2.0596277713775635,0.1643091287813214,1.4515189672437145e-07,5.1563076391980545e-08,True
G0_gcn_random__e1_r40_seed44.parquet,G0_gcn_random,e1_r40_seed44,33048,13219,0,1.0,2.041256814241991,0.17959482129273108,13219,2.041256666183472,0.1795948031802005,1.480585187785266e-07,1.8112530586478215e-08,True
G0_gcn_random__e1_r60_seed42.parquet,G0_gcn_random,e1_r60_seed42,33048,19829,0,1.0,2.2721622781031003,0.09050499983153781,19829,2.2721621990203857,0.0905050474245974,7.90827145991102e-08,-4.7593059590567144e-08,True
G0_gcn_random__e1_r60_seed43.parquet,G0_gcn_random,e1_r60_seed43,33048,19829,0,1.0,2.065265714525921,0.1816685748715765,19829,2.065265893936157,0.1816685968770248,-1.7941023600087647e-07,-2.2005448296891217e-08,True
G0_gcn_random__e1_r60_seed44.parquet,G0_gcn_random,e1_r60_seed44,33048,19829,0,1.0,2.1180646047244105,0.13327920653717606,19829,2.118064641952514,0.1332791757447843,-3.7228103710873484e-08,3.079239177528059e-08,True
G0_gcn_random__e2a_strict.parquet,G0_gcn_random,e2a_strict,33048,3184,0,1.0,1.2901680085377478,0.15866917859581842,3184,1.290168046951294,0.158669228020428,-3.8413546121773834e-08,-4.9424609571691036e-08,True
G0_gcn_random__e2b_partial.parquet,G0_gcn_random,e2b_partial,33048,2547,0,1.0,1.2619137212979266,0.16023055571147737,2547,1.261913776397705,0.1602305032951955,-5.509977851758663e-08,5.241628187047098e-08,True
G0_gcn_random__e3_spatial_seed42.parquet,G0_gcn_random,e3_spatial_seed42,33048,5068,0,1.0,2.3266468416243766,-0.11555354792753159,5068,2.3266468048095703,-0.1155535594943213,3.6814806314566795e-08,1.1566789720474091e-08,True
G0_gcn_random__e3_spatial_seed43.parquet,G0_gcn_random,e3_spatial_seed43,33048,4004,0,1.0,3.2300848345366213,0.04865431427871969,4004,3.2300846576690674,0.0486544557292406,1.7686755393597764e-07,-1.4145052090741572e-07,True
G0_gcn_random__e3_spatial_seed44.parquet,G0_gcn_random,e3_spatial_seed44,33048,4909,0,1.0,2.755668717194603,-0.015170809536578345,4909,2.755668878555298,-0.0151706761758967,-1.6136069502792338e-07,-1.3336068164539194e-07,True
G0_gcn_river__e1_r20_seed42.parquet,G0_gcn_river,e1_r20_seed42,33048,6610,0,1.0,1.708880117192932,0.202514180052759,6610,1.708880066871643,0.202514176265005,5.0321288913579565e-08,3.787753999340282e-09,True
G0_gcn_river__e1_r20_seed43.parquet,G0_gcn_river,e1_r20_seed43,33048,6610,0,1.0,1.6230792192406895,0.4302919414120313,6610,1.6230791807174685,0.4302919246397203,3.8523221057573664e-08,1.677231098451415e-08,True
G0_gcn_river__e1_r20_seed44.parquet,G0_gcn_river,e1_r20_seed44,33048,6610,0,1.0,1.6797468644294904,0.3720843661839007,6610,1.6797468662261963,0.372084363148724,-1.796705895174e-09,3.03517672106679e-09,True
G0_gcn_river__e1_r40_seed42.parquet,G0_gcn_river,e1_r40_seed42,33048,13219,0,1.0,1.7708605212849968,0.17763476638040387,13219,1.7708605527877808,0.1776347534326178,-3.150278393704298e-08,1.2947786065531375e-08,True
G0_gcn_river__e1_r40_seed43.parquet,G0_gcn_river,e1_r40_seed43,33048,13219,0,1.0,1.694902652461028,0.28870268870996085,13219,1.6949026584625244,0.2887026421549739,-6.001496410945606e-09,4.6554986976588e-08,True
G0_gcn_river__e1_r40_seed44.parquet,G0_gcn_river,e1_r40_seed44,33048,13219,0,1.0,1.6929861680451,0.34366054265644264,13219,1.6929861307144165,0.343660550435131,3.733068343336754e-08,-7.77868836010498e-09,True
G0_gcn_river__e1_r60_seed42.parquet,G0_gcn_river,e1_r60_seed42,33048,19829,0,1.0,1.7469610121012653,0.2226761434748138,19829,1.7469608783721924,0.2226761101553552,1.33729072926414e-07,3.331945858109364e-08,True
G0_gcn_river__e1_r60_seed43.parquet,G0_gcn_river,e1_r60_seed43,33048,19829,0,1.0,1.757561217862552,0.2940975041707897,19829,1.7575610876083374,0.2940974955685471,1.3025421452539376e-07,8.602242640431967e-09,True
G0_gcn_river__e1_r60_seed44.parquet,G0_gcn_river,e1_r60_seed44,33048,19829,0,1.0,1.7725557535334424,0.23541835952212975,19829,1.7725557088851929,0.2354184199753682,4.464824954197866e-08,-6.045323844294792e-08,True
G0_gcn_river__e2a_strict.parquet,G0_gcn_river,e2a_strict,33048,3184,0,1.0,1.1717638998063067,0.28851616579514383,3184,1.171763896942139,0.2885162028264935,2.864167791827299e-09,-3.7031349653382506e-08,True
G0_gcn_river__e2b_partial.parquet,G0_gcn_river,e2b_partial,33048,2547,0,1.0,1.1310220962886863,0.30817354080634674,2547,1.1310220956802368,0.3081735125082192,6.084495129954348e-10,2.8298127507930815e-08,True
G0_gcn_river__e3_spatial_seed42.parquet,G0_gcn_river,e3_spatial_seed42,33048,5068,0,1.0,1.6277186646146058,0.3565412198840918,5068,1.6277186870574951,0.3565411815923505,-2.244288932473637e-08,3.829174133329616e-08,True
G0_gcn_river__e3_spatial_seed43.parquet,G0_gcn_river,e3_spatial_seed43,33048,4004,0,1.0,2.334872033984794,0.06999665799680543,4004,2.334872245788574,0.0699966853753771,-2.1180378029228564e-07,-2.73785716597974e-08,True
G0_gcn_river__e3_spatial_seed44.parquet,G0_gcn_river,e3_spatial_seed44,33048,4909,0,1.0,1.8104306755340447,0.4348283834302886,4909,1.810430645942688,0.4348284539458822,2.9591356698333016e-08,-7.05155935865065e-08,True
H1_directed_river__e1_r20_seed42.parquet,H1_directed_river,e1_r20_seed42,33048,6610,0,1.0,1.5492114852826462,0.28885484291005203,6610,1.549211502075195,0.2888548932789786,-1.6792548906963134e-08,-5.0368926585164786e-08,True
H1_directed_river__e1_r20_seed43.parquet,H1_directed_river,e1_r20_seed43,33048,6610,0,1.0,1.4347229305006644,0.5534722224973522,6610,1.4347230195999146,0.5534721949230373,-8.909925020006426e-08,2.7574314831468882e-08,True
H1_directed_river__e1_r20_seed44.parquet,H1_directed_river,e1_r20_seed44,33048,6610,0,1.0,1.5459940996770598,0.43969862299153606,6610,1.5459940433502195,0.4396986257443216,5.632684030310031e-08,-2.7527855550602e-09,True
H1_directed_river__e1_r40_seed42.parquet,H1_directed_river,e1_r40_seed42,33048,13219,0,1.0,1.5701813536110458,0.25422022144340295,13219,1.5701812505722046,0.2542202885643888,1.0303884123707974e-07,-6.71209858249533e-08,True
H1_directed_river__e1_r40_seed43.parquet,H1_directed_river,e1_r40_seed43,33048,13219,0,1.0,1.5442140112216123,0.33378845760559284,13219,1.5442140102386477,0.3337883437295821,9.829645986059177e-10,1.1387601073220566e-07,True
H1_directed_river__e1_r40_seed44.parquet,H1_directed_river,e1_r40_seed44,33048,13219,0,1.0,1.5278807747637064,0.4262738599730027,13219,1.5278806686401367,0.4262738558186217,1.0612356970973735e-07,4.154381005871954e-09,True
H1_directed_river__e1_r60_seed42.parquet,H1_directed_river,e1_r60_seed42,33048,19829,0,1.0,1.6665032999890164,0.25261013311974057,19829,1.6665033102035522,0.2526100762950307,-1.0214535883790177e-08,5.682470988199739e-08,True
H1_directed_river__e1_r60_seed43.parquet,H1_directed_river,e1_r60_seed43,33048,19829,0,1.0,1.610283661284854,0.34734021750652955,19829,1.6102834939956665,0.3473402181948126,1.6728918739161713e-07,-6.88283041672122e-10,True
H1_directed_river__e1_r60_seed44.parquet,H1_directed_river,e1_r60_seed44,33048,19829,0,1.0,1.6125945540706679,0.2708034498306292,19829,1.612594485282898,0.2708034803568906,6.878776992458313e-08,-3.052626140753745e-08,True
H1_directed_river__e2a_strict.parquet,H1_directed_river,e2a_strict,33048,3184,0,1.0,1.2411150516914062,0.17453243019613662,3184,1.2411149740219116,0.1745324616086361,7.766949461363026e-08,-3.1412499490457435e-08,True
H1_directed_river__e2b_partial.parquet,H1_directed_river,e2b_partial,33048,2547,0,1.0,1.1829061020249052,0.2243047378590377,2547,1.182906150817871,0.2243047105455115,-4.8792965889887796e-08,2.7313526218541995e-08,True
H1_directed_river__e3_spatial_seed42.parquet,H1_directed_river,e3_spatial_seed42,33048,5068,0,1.0,1.9029139647114766,0.2714432803071811,5068,1.9029139280319212,0.2714432457315074,3.667955539299328e-08,3.457567371301096e-08,True
H1_directed_river__e3_spatial_seed43.parquet,H1_directed_river,e3_spatial_seed43,33048,4004,0,1.0,2.2916123177260754,0.06239621585880195,4004,2.291612148284912,0.0623961614724407,1.6944116332240355e-07,5.438636124788232e-08,True
H1_directed_river__e3_spatial_seed44.parquet,H1_directed_river,e3_spatial_seed44,33048,4909,0,1.0,1.88568766221911,0.42406957975846205,4909,1.8856877088546755,0.4240696112966027,-4.663556540940306e-08,-3.15381406545967e-08,True
H2_transport_river__e1_r20_seed42.parquet,H2_transport_river,e1_r20_seed42,33048,6610,0,1.0,1.4626158445780468,0.263518585865238,6610,1.4626158475875854,0.2635185169239777,-3.0095386183148776e-09,6.894126031165015e-08,True
H2_transport_river__e1_r20_seed43.parquet,H2_transport_river,e1_r20_seed43,33048,6610,0,1.0,1.31897993402023,0.5732721137011488,6610,1.3189798593521118,0.5732720956886614,7.466811813294782e-08,1.801248739052852e-08,True
H2_transport_river__e1_r20_seed44.parquet,H2_transport_river,e1_r20_seed44,33048,6610,0,1.0,1.443336536632724,0.4332232588211463,6610,1.4433366060256958,0.4332232049185535,-6.939297181318693e-08,5.390259283366561e-08,True
H2_transport_river__e1_r40_seed42.parquet,H2_transport_river,e1_r40_seed42,33048,13219,0,1.0,1.485634053695945,0.23722421425791784,13219,1.4856340885162354,0.2372241047042859,-3.4820290428783096e-08,1.095536319439816e-07,True
H2_transport_river__e1_r40_seed43.parquet,H2_transport_river,e1_r40_seed43,33048,13219,0,1.0,1.5043938283917944,0.3138015059980567,13219,1.5043938159942627,0.3138014507281097,1.2397531667929229e-08,5.526994695248533e-08,True
