comparison,seed,mask,d_mae,d_r2,d_rmse
H2X-H2,0,e1_r20_seed42,-0.019052624702453613,-0.0003526326703684468,0.0015916824340820312
H2X-H2,0,e1_r20_seed43,-0.016745924949645996,-0.0035299794412547714,0.01309061050415039
H2X-H2,0,e1_r20_seed44,-0.06792950630187988,0.010008101487005483,-0.039865970611572266
H2X-H2,0,e2a_strict,-0.30542469024658203,0.23364771403807605,-0.28049373626708984
H2X-H2,0,e2b_partial,-0.3467506766319275,0.26612042235850775,-0.32097959518432617
H2X-H2,0,e3_spatial_seed42,-0.35852503776550293,0.13345071804677822,-0.31739330291748047
H2X-H2,0,e3_spatial_seed43,-0.2901651859283447,0.004742861703686763,-0.029686927795410156
H2X-H2,0,e3_spatial_seed44,-0.22446155548095703,0.08771359724854144,-0.29749059677124023
H2X-H2,1,e1_r20_seed42,-0.02097630500793457,-0.015811943699638897,0.0717935562133789
H2X-H2,1,e1_r20_seed43,-0.03038036823272705,0.022146276180523894,-0.08343672752380371
H2X-H2,1,e1_r20_seed44,0.010962128639221191,-0.012944376641035205,0.051975250244140625
H2X-H2,1,e2a_strict,-0.1412438154220581,0.10194316604009201,-0.13073503971099854
H2X-H2,1,e2b_partial,-0.1119040846824646,0.08098444750580047,-0.10566580295562744
H2X-H2,1,e3_spatial_seed42,-0.13364946842193604,0.08487623372472342,-0.2062532901763916
H2X-H2,1,e3_spatial_seed43,-0.44684576988220215,0.011990646472765265,-0.07488346099853516
H2X-H2,1,e3_spatial_seed44,-0.1638045310974121,0.08094945117427488,-0.2603280544281006
H2X-H2,2,e1_r20_seed42,-0.04389691352844238,-0.0036833092331798323,0.01665210723876953
H2X-H2,2,e1_r20_seed43,-0.0024796724319458008,0.01674409337073912,-0.06384754180908203
H2X-H2,2,e1_r20_seed44,0.010866045951843262,0.006437194379061317,-0.025790691375732422
H2X-H2,2,e2a_strict,-0.3306530714035034,0.2796922670836456,-0.3255577087402344
H2X-H2,2,e2b_partial,-0.37053245306015015,0.2747822178302354,-0.31615471839904785
H2X-H2,2,e3_spatial_seed42,-0.18239843845367432,0.026796901165911602,-0.06551861763000488
H2X-H2,2,e3_spatial_seed43,-0.06116175651550293,-0.0036668237396245695,0.022935867309570312
H2X-H2,2,e3_spatial_seed44,-0.14750051498413086,0.028787675673255353,-0.09575748443603516
H2X-H2,3,e1_r20_seed42,-0.03358650207519531,0.007555810717497891,-0.034027099609375
H2X-H2,3,e1_r20_seed43,-0.05748891830444336,0.022077838686920703,-0.08382534980773926
H2X-H2,3,e1_r20_seed44,0.007763981819152832,-0.023930551332117078,0.09669828414916992
H2X-H2,3,e2a_strict,-0.17448484897613525,0.05344096370292106,-0.06623697280883789
H2X-H2,3,e2b_partial,-0.1287289261817932,0.062333094091347574,-0.07739317417144775
H2X-H2,3,e3_spatial_seed42,-0.17345774173736572,0.11341009899364862,-0.26755809783935547
H2X-H2,3,e3_spatial_seed43,-0.027009248733520508,-0.010833605951938274,0.0677175521850586
H2X-H2,3,e3_spatial_seed44,-0.2260068655014038,0.057634051268329545,-0.19515299797058105
H2X-H2,4,e1_r20_seed42,0.016695737838745117,-0.05696879252689813,0.2581334114074707
H2X-H2,4,e1_r20_seed43,-0.03496968746185303,0.015144545180406643,-0.05765533447265625
H2X-H2,4,e1_r20_seed44,-0.0144805908203125,-0.009401318809096004,0.038007259368896484
H2X-H2,4,e2a_strict,-0.048801541328430176,-0.02220621161731895,0.02887892723083496
H2X-H2,4,e2b_partial,-0.0889962911605835,-0.0034985576233739213,0.004506587982177734
H2X-H2,4,e3_spatial_seed42,-0.40245771408081055,0.09607782463763759,-0.2352440357208252
H2X-H2,4,e3_spatial_seed43,-0.0653839111328125,-0.006700099481940058,0.04185771942138672
H2X-H2,4,e3_spatial_seed44,-0.16647768020629883,0.04548690995115068,-0.15229368209838867
