comparison,seed,mask,d_mae,d_r2,d_rmse
H2-H1,0,e1_r20_seed42,-0.12597918510437012,0.03002113483938229,-0.1341686248779297
H2-H1,0,e1_r20_seed43,-0.07197916507720947,0.03732672049261965,-0.13576221466064453
H2-H1,0,e1_r20_seed44,-0.04675793647766113,-0.0049130764418863215,0.01952648162841797
H2-H1,0,e2a_strict,0.19217264652252197,-0.143087547822785,0.16603541374206543
H2-H1,0,e2b_partial,0.19519102573394775,-0.14974260440835263,0.17240548133850098
H2-H1,0,e3_spatial_seed42,0.14342224597930908,-0.059949603418770314,0.13868284225463867
H2-H1,0,e3_spatial_seed43,0.07624673843383789,0.013515870614940084,-0.08418560028076172
H2-H1,0,e3_spatial_seed44,-0.19169020652770996,0.061500322798995755,-0.19480347633361816
H2-H1,1,e1_r20_seed42,-0.15111041069030762,0.04738935023822832,-0.21287059783935547
H2-H1,1,e1_r20_seed43,-0.09439325332641602,0.037920201882458704,-0.1379106044769287
H2-H1,1,e1_r20_seed44,-0.10860073566436768,0.014794099030168928,-0.059352874755859375
H2-H1,1,e2a_strict,-0.18956971168518066,0.18340401753842994,-0.2117922306060791
H2-H1,1,e2b_partial,-0.22589170932769775,0.22932240478114652,-0.2651413679122925
H2-H1,1,e3_spatial_seed42,-0.07882165908813477,0.015502836655636787,-0.03625941276550293
H2-H1,1,e3_spatial_seed43,0.11650729179382324,0.010022500350201136,-0.062224388122558594
H2-H1,1,e3_spatial_seed44,0.030949115753173828,-0.05547678699622416,0.1763923168182373
H2-H1,2,e1_r20_seed42,-0.11880338191986084,0.002694056198150996,-0.012183666229248047
H2-H1,2,e1_r20_seed43,-0.12270355224609375,0.030426423634806965,-0.11274886131286621
H2-H1,2,e1_r20_seed44,-0.1512678861618042,0.03523947923975712,-0.1386260986328125
H2-H1,2,e2a_strict,0.1339491605758667,-0.10766353134944184,0.1181412935256958
H2-H1,2,e2b_partial,0.1353158950805664,-0.1062690633228186,0.11519515514373779
H2-H1,2,e3_spatial_seed42,-0.014506101608276367,0.02588322735913451,-0.06200599670410156
H2-H1,2,e3_spatial_seed43,-0.11979150772094727,0.021246754632563203,-0.13227462768554688
H2-H1,2,e3_spatial_seed44,-0.036156296730041504,0.016499196003253558,-0.05374932289123535
H2-H1,3,e1_r20_seed42,-0.08656477928161621,-0.03190819400170475,0.14491605758666992
H2-H1,3,e1_r20_seed43,-0.09459924697875977,0.040512271952675594,-0.1481931209564209
H2-H1,3,e1_r20_seed44,-0.11704874038696289,0.055698750933448005,-0.22191715240478516
H2-H1,3,e2a_strict,-0.0168379545211792,0.050444750935616955,-0.06015217304229736
H2-H1,3,e2b_partial,-0.062337398529052734,0.05784934353737059,-0.06852853298187256
H2-H1,3,e3_spatial_seed42,-0.00017452239990234375,-0.04940287239102359,0.11382126808166504
H2-H1,3,e3_spatial_seed43,-0.06597495079040527,0.02414448609655917,-0.15038108825683594
H2-H1,3,e3_spatial_seed44,0.02893209457397461,0.038574614849616995,-0.12488222122192383
H2-H1,4,e1_r20_seed42,-0.12526226043701172,0.04826387607166094,-0.21934032440185547
H2-H1,4,e1_r20_seed43,-0.08464086055755615,0.0423251271822217,-0.1556839942932129
H2-H1,4,e1_r20_seed44,-0.09100031852722168,-0.0053711307243689,0.02186298370361328
H2-H1,4,e2a_strict,-0.11133337020874023,0.08215392974594593,-0.10426771640777588
H2-H1,4,e2b_partial,-0.06256103515625,0.05920719795224061,-0.07448220252990723
H2-H1,4,e3_spatial_seed42,0.019092321395874023,-0.012322132337160618,0.02919626235961914
H2-H1,4,e3_spatial_seed43,-0.16152739524841309,0.018191662201625713,-0.11329841613769531
H2-H1,4,e3_spatial_seed44,-0.040702104568481445,0.020344597199855263,-0.06606864929199219
