comparison,scope,n_pairs,metric,mean,sd,min,max,n_favouring_high
H2X-H2,scenario:E1,15,d_mae,-0.01971327463785807,0.025589576584527512,-0.06792950630187988,0.016695737838745117,11
H2X-H2,scenario:E1,15,d_r2,-0.0017672696234288872,0.020684150870081602,-0.05696879252689813,0.022146276180523894,7
H2X-H2,scenario:E1,15,d_rmse,0.010632896423339843,0.08817204939209886,-0.08382534980773926,0.2581334114074707,7
H2X-H2,scenario:E2a,5,d_mae,-0.2001215934753418,0.11741891086881695,-0.3306530714035034,-0.048801541328430176,5
H2X-H2,scenario:E2a,5,d_r2,0.12930357984948315,0.12546254547704408,-0.02220621161731895,0.2796922670836456,4
H2X-H2,scenario:E2a,5,d_rmse,-0.15482890605926514,0.14757844241355023,-0.3255577087402344,0.02887892723083496,4
H2X-H2,scenario:E2b,5,d_mae,-0.2093824863433838,0.1372399386327305,-0.37053245306015015,-0.0889962911605835,5
H2X-H2,scenario:E2b,5,d_r2,0.13614432483250344,0.1265949206857714,-0.0034985576233739213,0.2747822178302354,4
H2X-H2,scenario:E2b,5,d_rmse,-0.1631373405456543,0.147553398594341,-0.32097959518432617,0.004506587982177734,4
H2X-H2,scenario:E3,15,d_mae,-0.204620361328125,0.12365462260507026,-0.44684576988220215,-0.027009248733520508,15
H2X-H2,scenario:E3,15,d_r2,0.05004776272581336,0.04710186524341337,-0.010833605951938274,0.13345071804677822,12
H2X-H2,scenario:E3,15,d_rmse,-0.13766996065775552,0.12825058614768328,-0.31739330291748047,0.0677175521850586,12
H2-H1,scenario:E1,15,d_mae,-0.10604744752248128,0.02855663204873425,-0.1512678861618042,-0.04675793647766113,15
H2-H1,scenario:E1,15,d_r2,0.025361272701841284,0.024870489334801266,-0.03190819400170475,0.055698750933448005,12
H2-H1,scenario:E1,15,d_rmse,-0.10016350746154785,0.10395454123169112,-0.22191715240478516,0.14491605758666992,12
H2-H1,scenario:E2a,5,d_mae,0.0016761541366577149,0.16083684889500335,-0.18956971168518066,0.19217264652252197,3
H2-H1,scenario:E2a,5,d_r2,0.0130503238095532,0.13614780780992586,-0.143087547822785,0.18340401753842994,3
H2-H1,scenario:E2a,5,d_rmse,-0.01840708255767822,0.15746190806247315,-0.2117922306060791,0.16603541374206543,3
H2-H1,scenario:E2b,5,d_mae,-0.0040566444396972655,0.16967214332806332,-0.22589170932769775,0.19519102573394775,3
H2-H1,scenario:E2b,5,d_r2,0.018073455707917296,0.15126426921124161,-0.14974260440835263,0.22932240478114652,3
H2-H1,scenario:E2b,5,d_rmse,-0.024110293388366698,0.17365968575963434,-0.2651413679122925,0.17240548133850098,3
H2-H1,scenario:E3,15,d_mae,-0.019612995783487956,0.09534637081652855,-0.19169020652770996,0.14342224597930908,9
H2-H1,scenario:E3,15,d_r2,0.005884978241280233,0.03511181711592209,-0.059949603418770314,0.061500322798995755,11
H2-H1,scenario:E3,15,d_rmse,-0.04146936734517415,0.10961733263572675,-0.19480347633361816,0.1763923168182373,11
