model,mask,n_runs,test_cells,mae_mean,mae_sd_seeds,mae_min,mae_max,r2_mean,r2_sd_seeds,r2_min,r2_max,rmse_mean,rmse_sd_seeds,rmse_min,rmse_max,log_r2_mean,log_r2_sd_seeds,log_r2_min,log_r2_max,log_mae_mean,log_mae_sd_seeds,log_mae_min,log_mae_max,log_rmse_mean,log_rmse_sd_seeds,log_rmse_min,log_rmse_max
H1,e1_r20_seed42,5,6610,1.5663664579391479,0.016201927129348384,1.5532845258712769,1.5933936834335327,0.26260354847487366,0.02339195074082027,0.24141162453637732,0.29715365719464326,6.61192512512207,0.10531402585933443,6.45582389831543,6.706942081451416,0.7136650158958796,0.005613357088713062,0.705663095680825,0.7213778996816028,0.22513073682785034,0.003351891071388448,0.22061601281166077,0.22993391752243042,0.32532615661621095,0.0031881518549021796,0.3209269940853119,0.3298532962799072
H1,e1_r20_seed43,5,6610,1.4351636171340942,0.004988769874126234,1.4296895265579224,1.4412401914596558,0.5484439075812754,0.008205698998629789,0.5421233282334501,0.5620687839584144,3.2373395442962645,0.029542192559207998,3.1882312297821045,3.260026454925537,0.704498341935946,0.00167195875663633,0.7022915698560457,0.7068311031497387,0.22307505905628205,0.0018849897894388644,0.22136865556240082,0.22609063982963562,0.32380074858665464,0.0009161714001999699,0.3225211799144745,0.3250086009502411
H1,e1_r20_seed44,5,6610,1.5453864812850953,0.02015522005719923,1.5237330198287964,1.575523853302002,0.43170626148533986,0.023905252412642825,0.406324716457901,0.4647621453013431,4.500245094299316,0.09489566278280857,4.368178367614746,4.600461959838867,0.7129028345098611,0.004946079036867438,0.707198900102955,0.7201808914604526,0.2255691409111023,0.0029876471115748223,0.2230137288570404,0.22969603538513184,0.3266298234462738,0.002818013825886899,0.3224727213382721,0.3298683762550354
H1,e2a_strict,5,3184,1.2000428676605224,0.07434177098578637,1.1258041858673096,1.2929954528808594,0.26752865122187847,0.07537163768934485,0.16047154018503185,0.34147687410905103,1.7043243408203126,0.08713505554091196,1.6176927089691162,1.8265360593795776,0.3555626829738848,0.07156259592223213,0.28068661846651577,0.45107491239071407,0.24994555115699768,0.016381316452842687,0.22692561149597168,0.2668413817882538,0.333561372756958,0.01869483458065974,0.30823853611946106,0.35284948348999023
H1,e2b_partial,5,2547,1.158973717689514,0.07458394391290107,1.080554485321045,1.2526113986968994,0.2931571632472171,0.08215531663933652,0.17653563619359214,0.37523885162217474,1.6291910886764527,0.09408459985860097,1.5337203741073608,1.7608062028884888,0.3723671194681028,0.07452639052090942,0.2937978351868823,0.4708194656258957,0.2435877352952957,0.016360943459902764,0.22118109464645386,0.2607813775539398,0.3255132079124451,0.01952819640601588,0.2993243336677551,0.3457837700843811
H1,e3_spatial_seed42,5,5068,1.8180897235870361,0.04037313422649104,1.7725293636322021,1.865474820137024,0.31963390854901585,0.012796425049971171,0.30124885236391363,0.33285845881076104,3.2072107791900635,0.03010354600218219,3.175999879837036,3.2503695487976074,0.34559448888182875,0.009387217145085527,0.33144772948846135,0.35478241774671315,0.30226561427116394,0.00752282138899466,0.29381048679351807,0.31201818585395813,0.40240493416786194,0.002881231510514601,0.3995782434940338,0.40673956274986267
H1,e3_spatial_seed43,5,4004,2.3527854442596436,0.040851770965148824,2.3213374614715576,2.423530340194702,0.058489764570928915,0.002187961403299729,0.0564743345558959,0.06189372961368156,11.665048027038575,0.013559440745103882,11.643948554992676,11.677533149719238,0.4244950319466588,0.013799961518482238,0.4164375089915815,0.44884673577684997,0.345402854681015,0.005117303776330141,0.33784395456314087,0.3519902527332306,0.4571771800518036,0.0055239326809279204,0.44742634892463684,0.46039336919784546
H1,e3_spatial_seed44,5,4909,1.9080484867095948,0.0763156619813606,1.862911581993103,2.043917179107666,0.4216455236808499,0.024753166196872765,0.3807781323674133,0.443785772056032,3.693882179260254,0.07834663364904691,3.623140335083008,3.822849988937378,0.5652888659408479,0.026999048789653347,0.5210601900502869,0.5929524901193552,0.29490926265716555,0.010628522317750072,0.2870064675807953,0.3135616183280945,0.390548175573349,0.011993357339026534,0.37805983424186707,0.41008931398391724
H2,e1_r20_seed42,5,6610,1.4448224544525146,0.013200749656572587,1.4308278560638428,1.4667197465896606,0.2818955931440172,0.01601549377329898,0.2652454631929385,0.3061512515908533,6.525195693969726,0.07299946670949024,6.414368152618408,6.6007399559021,0.7575776753867357,0.005267250343272255,0.7514999119726578,0.7649734908806272,0.2030518263578415,0.002414017980402387,0.2012150138616562,0.20720139145851135,0.29933962225914,0.003257023327364716,0.2947520911693573,0.3030831217765808
H2,e1_r20_seed43,5,6610,1.3415004014968872,0.016752729994784898,1.318536639213562,1.364646077156067,0.5861460566102319,0.006166584540817574,0.5798175947296612,0.5924952075932214,3.09927978515625,0.023089333299263264,3.0754823684692383,3.122955560684204,0.7441128628628628,0.0027154626354054328,0.7412733553020574,0.7484007510005846,0.2046648621559143,0.002723649301405224,0.20202986896038055,0.20804522931575775,0.3013135015964508,0.0016016596511822727,0.2987816631793976,0.3029841184616089
