model,seed,mask,file,mae,r2,rmse,log_r2,log_mae,log_rmse,n
H1,0,e1_r20_seed42,H1f_directed_river,1.56877863407135,0.24268861243628514,6.701294898986816,0.7125621012416352,0.22579240798950195,0.32596462965011597,6610
H1,0,e1_r20_seed43,H1f_directed_river,1.4366252422332764,0.5424908742370416,3.2587177753448486,0.7022915698560457,0.223652184009552,0.3250086009502411,6610
H1,0,e1_r20_seed44,H1f_directed_river,1.5305845737457275,0.4382141267176538,4.475199222564697,0.7139800066967021,0.2230137288570404,0.32602620124816895,6610
H1,0,e2a_strict,H1f_directed_river,1.12770676612854,0.3319675009589641,1.6293309926986694,0.45107491239071407,0.22692561149597168,0.30823853611946106,3184
H1,0,e2b_partial,H1f_directed_river,1.089585304260254,0.362818109016137,1.5488910675048828,0.4708194656258957,0.22118109464645386,0.2993243336677551,2547
H1,0,e3_spatial_seed42,H1f_directed_river,1.8528732061386108,0.3233229729598841,3.1986167430877686,0.34248618210190906,0.3074673116207123,0.4033677577972412,5068
H1,0,e3_spatial_seed43,H1f_directed_river,2.333012104034424,0.06189372961368156,11.643948554992676,0.44884673577684997,0.33784395456314087,0.44742634892463684,4004
H1,0,e3_spatial_seed44,H1f_directed_river,2.043917179107666,0.3807781323674133,3.822849988937378,0.5210601900502869,0.3135616183280945,0.41008931398391724,4909
H1,1,e1_r20_seed42,H1_directed_river_s1,1.5933936834335327,0.24141162453637732,6.706942081451416,0.705663095680825,0.22993391752243042,0.3298532962799072,6610
H1,1,e1_r20_seed43,H1_directed_river_s1,1.4296895265579224,0.5421233282334501,3.260026454925537,0.7037764678155694,0.22234992682933807,0.32419705390930176,6610
H1,1,e1_r20_seed44,H1_directed_river_s1,1.546454668045044,0.4388631474641709,4.472613334655762,0.7135361191070786,0.22424794733524323,0.3262791037559509,6610
H1,1,e2a_strict,H1_directed_river_s1,1.2929954528808594,0.16047154018503185,1.8265360593795776,0.28068661846651577,0.2668413817882538,0.35284948348999023,3184
