model,scenario,mae_mean,mae_sd_seeds,mae_min_seed,mae_max_seed,r2_mean,r2_sd_seeds,r2_min_seed,r2_max_seed,rmse_mean,rmse_sd_seeds,rmse_min_seed,rmse_max_seed
H1,E1,1.5156388521194457,0.008997194041859618,1.5033955971399944,1.5256831248601277,0.4142512391804963,0.0070265661448320835,0.40746603341133275,0.42411358081977674,4.7831699212392165,0.030031420929479895,4.7449532349904375,4.813193957010905
H1,E2a,1.2000428676605224,0.07434177098578637,1.1258041858673096,1.2929954528808594,0.26752865122187847,0.07537163768934485,0.16047154018503185,0.34147687410905103,1.7043243408203126,0.08713505554091196,1.6176927089691162,1.8265360593795776
H1,E2b,1.158973717689514,0.07458394391290107,1.080554485321045,1.2526113986968994,0.2931571632472171,0.08215531663933652,0.17653563619359214,0.37523885162217474,1.6291910886764527,0.09408459985860097,1.5337203741073608,1.7608062028884888
H1,E3,2.0263078848520917,0.0317977099104561,1.9953398704528809,2.0766008297602334,0.26658973226693156,0.008002867157284264,0.255331611646993,0.27418466845659956,6.18871366182963,0.023272139996610312,6.1674262682596845,6.221805095672607
H2,E1,1.4095914045969644,0.013605666024560753,1.3947581847508748,1.4304240544637044,0.4396125118823376,0.008613752356683586,0.42860946409369866,0.4525195383296146,4.68300641377767,0.03667881609777098,4.627232789993286,4.728269179662068
H2,E2a,1.2017190217971803,0.15247237721793883,1.0144708156585693,1.3861511945724487,0.28057897503143164,0.12317313711215855,0.12021241536225691,0.42363080385499696,1.6859172582626343,0.14412370260920912,1.5134249925613403,1.8698184490203857
H2,E2b,1.1549170732498169,0.15070091108036218,1.017993450164795,1.344304084777832,0.3112306189551344,0.1260952263845762,0.1449287080606898,0.43444604957441535,1.605080795288086,0.14582542796058479,1.4592381715774536,1.7942804098129272
H2,E3,2.0066948890686036,0.04862477134293073,1.968914270401001,2.0859270890553794,0.2724747105082118,0.015958392568809578,0.25755142786801644,0.29495347902539887,6.147244294484457,0.0471707958162122,6.087127765019734,6.207387447357178
H2X,E1,1.3898781299591065,0.005056010422927672,1.3829213380813599,1.395848035812378,0.43784524225890864,0.004986815315871543,0.4306512938854928,0.44337597023117375,4.693639310201009,0.01967196313670212,4.671334902445476,4.719874620437622
H2X,E2a,1.0015974283218383,0.03869341899735852,0.9621819257736206,1.0554981231689453,0.4098825548809148,0.02515526828373962,0.37973710878318456,0.4458187237635538,1.5310883522033691,0.03275863073235395,1.4840087890625,1.569995641708374
H2X,E2b,0.9455345869064331,0.02633727307927546,0.9148156046867371,0.9737716317176819,0.44737494378763787,0.032958690378832006,0.4197109258909252,0.4868424884805391,1.4419434547424317,0.0432489929558479,1.3899990320205688,1.4781256914138794
H2X,E3,1.8020745277404786,0.04065119281523171,1.7574745019276936,1.8484516143798828,0.32252247323402516,0.009292006520076898,0.31225939672524633,0.3356562006450503,6.0095743338267,0.03101896535435882,5.960179408391316,6.041014353434245
