site_no,DOC_monthly_labels,site_tp_cd,station_nm
03010958,27,ST,"Tunungwant Creek at Bradford, PA."
03016000,34,ST,"Allegheny River at West Hickory, PA"
03024000,29,ST,"French Creek at Utica, PA"
03025490,35,ST,"French Creek at Franklin, PA"
03030852,35,ST,"Clarion River at Callensburg, PA"
03037525,30,ST,"South Branch Plum Creek at Five Points, PA"
03039420,25,ST,"North Branch Quemahoning Creek at Roytown, PA"
03039925,110,ST,"North Fork Bens Creek at North Fork Reservoir, PA"
03039930,26,ST,"South Fork Bens Creek near Thomasdale, PA"
03040000,30,ST,"Stonycreek River at Ferndale, PA"
03049625,48,ST,"Allegheny River at New Kensington, PA"
03049646,30,ST,"Deer Creek near Dorseyville, PA"
03049652,44,ST,"Allegheny River at Hulton Bridge at Oakmont, PA"
03072000,30,ST,"Dunkard Creek at Shannopin, PA"
03072859,35,ST,"Unnamed Tributary to House Run nr Holbrook, PA"
03075001,72,ST,"Monongahela River at North Charleroi, PA"
03079700,26,ST,"Garys Run near Barronvale, PA"
03079705,25,ST,"Cole Run near Barronvale, PA"
03083500,105,ST,"Youghiogheny River at Sutersville, PA"
03085000,127,ST,"Monongahela River at Braddock, PA"
03086000,107,ST,"Ohio River at Sewickley, PA"
03104500,39,ST,"Shenango River at New Castle, PA"
03107500,78,ST,"Beaver River at Beaver Falls, PA"
03110983,0,ST,Consol Run near Bloomingdale OH
03127970,34,ST,Clear Fork tributary near Hanover OH
03144270,31,ST,Opossum Run tributary near Wakatomika OH
03144289,31,ST,Sand Fork near Wakatomika OH
03176500,25,ST,"NEW RIVER AT GLEN LYN, VA"
03185400,24,ST,"NEW RIVER AT THURMOND, WV"
03198350,42,ST,"CLEAR FORK AT WHITESVILLE, WV"
03201300,56,ST,"KANAWHA RIVER AT WINFIELD, WV"
03201600,35,ST,Sandy Run ab Big Four Hollow Creek nr Lake Hope OH
03201660,25,ST,Big Four Hollow Creek bl East Fork nr Lake Hope OH
03201700,42,ST,Big Four Hollow Creek near Lake Hope OH
03201720,31,ST,Hull Hollow Creek near Lake Hope OH
03201722,36,ST,Sandy Run bl Hull Hollow Creek near Lake Hope OH
03207962,21,ST,"DICKS FORK AT PHYLLIS, KY"
03207965,18,ST,"GRAPEVINE CREEK NEAR PHYLLIS, KY"
03209500,31,ST,"LEVISA FORK AT PIKEVILLE, KY"
03212500,25,ST,"LEVISA FORK AT PAINTSVILLE, KY"
03215000,29,ST,"BIG SANDY R AT LOUISA, KY"
03216600,120,ST,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY"
03245500,38,ST,Little Miami River at Milford OH
03267900,56,ST,Mad River at St Paris Pike at Eagle City OH
03280000,45,ST,"NORTH FORK KENTUCKY RIVER AT JACKSON, KY"
03281000,35,ST,"MIDDLE FORK KENTUCKY RIVER AT TALLEGA, KY"
03281500,36,ST,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY"
03284000,43,ST,"KENTUCKY RIVER AT LOCK 10 NEAR WINCHESTER, KY"
03287500,35,ST,"KENTUCKY RIVER AT LOCK 4 AT FRANKFORT, KY"
03289500,45,ST,"ELKHORN CREEK NEAR FRANKFORT, KY"
03290500,58,ST,"KENTUCKY RIVER AT LOCK 2 AT LOCKPORT, KY"
03303280,299,ST,"OHIO RIVER AT CANNELTON DAM AT CANNELTON, IN"
03339000,15,ST,"VERMILION RIVER NEAR DANVILLE, IL"
03353551,26,ST,"LITTLE EAGLE CREEK AT 52ND ST. AT INDIANAPOLIS, IN"
03353600,26,ST,"LITTLE EAGLE CREEK AT SPEEDWAY, IN"
03353630,26,ST,"LITTLE BUCK CREEK NEAR SOUTHPORT, IN"
03353637,101,ST,"LITTLE BUCK CREEK NEAR INDIANAPOLIS, IN"
03354000,37,ST,"WHITE RIVER NEAR CENTERTON, IN"
03357330,32,ST,"BIG WALNUT CREEK NEAR ROACHDALE, IN"
03360895,32,ST-DCH,"KESSINGER DITCH NEAR MONROE CITY, IN"
03366500,36,ST,"MUSCATATUCK RIVER NEAR DEPUTY, IN"
03373500,36,ST,"EAST FORK WHITE RIVER AT SHOALS, IN"
03373530,27,ST,"LOST RIVER NEAR LEIPSIC, IN"
03374100,297,ST,"WHITE RIVER AT HAZLETON, IN"
