model,series,value,n_masks,training_seeds,source
G0,E1 random mask (r20),0.33496348801781645,3,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E2b future reconstruction,0.3081735125082192,1,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E3 unseen stations,0.2871221069712033,3,1,"benchmark.csv (G0_gcn_river, single run)"
H1,E1 random mask (r20),0.4142512391804963,3,5,benchmark_multiseed.csv
H1,E2b future reconstruction,0.2931571632472171,1,5,benchmark_multiseed.csv
H1,E3 unseen stations,0.26658973226693156,3,5,benchmark_multiseed.csv
H2,E1 random mask (r20),0.4396125118823376,3,5,benchmark_multiseed.csv
H2,E2b future reconstruction,0.3112306189551344,1,5,benchmark_multiseed.csv
H2,E3 unseen stations,0.27247471050821176,3,5,benchmark_multiseed.csv
H2X,E1 random mask (r20),0.4378452422589087,3,5,benchmark_multiseed.csv
H2X,E2b future reconstruction,0.4473749437876378,1,5,benchmark_multiseed.csv
H2X,E3 unseen stations,0.3225224732340251,3,5,benchmark_multiseed.csv
