model,series,mask,metric,value,training_seeds,source
G0,E1 random mask (r20),e1_r20_seed42,r2,0.202514176265005,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E1 random mask (r20),e1_r20_seed43,r2,0.4302919246397203,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E1 random mask (r20),e1_r20_seed44,r2,0.372084363148724,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E2b future reconstruction,e2b_partial,r2,0.3081735125082192,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E3 unseen stations,e3_spatial_seed42,r2,0.3565411815923505,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E3 unseen stations,e3_spatial_seed43,r2,0.0699966853753771,1,"benchmark.csv (G0_gcn_river, single run)"
G0,E3 unseen stations,e3_spatial_seed44,r2,0.4348284539458822,1,"benchmark.csv (G0_gcn_river, single run)"
H1,E1 random mask (r20),e1_r20_seed42,r2,0.2626035484748736,5,benchmark_multiseed.csv
H1,E1 random mask (r20),e1_r20_seed43,r2,0.5484439075812754,5,benchmark_multiseed.csv
H1,E1 random mask (r20),e1_r20_seed44,r2,0.4317062614853398,5,benchmark_multiseed.csv
H1,E2b future reconstruction,e2b_partial,r2,0.2931571632472171,5,benchmark_multiseed.csv
H1,E3 unseen stations,e3_spatial_seed42,r2,0.3196339085490158,5,benchmark_multiseed.csv
H1,E3 unseen stations,e3_spatial_seed43,r2,0.0584897645709289,5,benchmark_multiseed.csv
H1,E3 unseen stations,e3_spatial_seed44,r2,0.4216455236808499,5,benchmark_multiseed.csv
H2,E1 random mask (r20),e1_r20_seed42,r2,0.2818955931440172,5,benchmark_multiseed.csv
H2,E1 random mask (r20),e1_r20_seed43,r2,0.5861460566102319,5,benchmark_multiseed.csv
H2,E1 random mask (r20),e1_r20_seed44,r2,0.4507958858927636,5,benchmark_multiseed.csv
H2,E2b future reconstruction,e2b_partial,r2,0.3112306189551344,5,benchmark_multiseed.csv
H2,E3 unseen stations,e3_spatial_seed42,r2,0.3035761997225792,5,benchmark_multiseed.csv
H2,E3 unseen stations,e3_spatial_seed43,r2,0.0759140193501067,5,benchmark_multiseed.csv
H2,E3 unseen stations,e3_spatial_seed44,r2,0.4379339124519493,5,benchmark_multiseed.csv
H2X,E1 random mask (r20),e1_r20_seed42,r2,0.2680434196614997,5,benchmark_multiseed.csv
H2X,E1 random mask (r20),e1_r20_seed43,r2,0.600662611405699,5,benchmark_multiseed.csv
H2X,E1 random mask (r20),e1_r20_seed44,r2,0.4448296957095273,5,benchmark_multiseed.csv
H2X,E2b future reconstruction,e2b_partial,r2,0.4473749437876378,5,benchmark_multiseed.csv
H2X,E3 unseen stations,e3_spatial_seed42,r2,0.3944985550363191,5,benchmark_multiseed.csv
H2X,E3 unseen stations,e3_spatial_seed43,r2,0.0750206151506966,5,benchmark_multiseed.csv
H2X,E3 unseen stations,e3_spatial_seed44,r2,0.4980482495150597,5,benchmark_multiseed.csv
