model,scenario,mae_mean,mae_sd_seeds,r2_mean,r2_sd_seeds,rmse_mean,rmse_sd_seeds,n_masks
H1,E1,1.5156388521194455,0.0089971940418596,0.4142512391804963,0.007026566144832,4.7831699212392165,0.0300314209294798,3
H1,E2a,1.2000428676605224,0.0743417709857863,0.2675286512218784,0.0753716376893448,1.7043243408203126,0.0871350555409119,1
H1,E2b,1.158973717689514,0.074583943912901,0.2931571632472171,0.0821553166393365,1.629191088676453,0.0940845998586009,1
H1,E3,2.026307884852092,0.0317977099104561,0.2665897322669315,0.0080028671572842,6.18871366182963,0.0232721399966103,3
H2,E1,1.4095914045969644,0.0136056660245607,0.4396125118823376,0.0086137523566835,4.68300641377767,0.0366788160977709,3
H2,E2a,1.2017190217971805,0.1524723772179388,0.2805789750314316,0.1231731371121585,1.6859172582626345,0.1441237026092091,1
H2,E2b,1.1549170732498169,0.1507009110803621,0.3112306189551344,0.1260952263845762,1.605080795288086,0.1458254279605847,1
H2,E3,2.006694889068604,0.0486247713429307,0.2724747105082118,0.0159583925688095,6.147244294484457,0.0471707958162122,3
H2X,E1,1.3898781299591063,0.0050560104229276,0.4378452422589086,0.0049868153158715,4.693639310201009,0.0196719631367021,3
H2X,E2a,1.0015974283218383,0.0386934189973585,0.4098825548809148,0.0251552682837396,1.5310883522033691,0.0327586307323539,1
H2X,E2b,0.9455345869064332,0.0263372730792754,0.4473749437876378,0.032958690378832,1.4419434547424317,0.0432489929558479,1
H2X,E3,1.8020745277404784,0.0406511928152317,0.3225224732340251,0.0092920065200768,6.0095743338267,0.0310189653543588,3
