model,mask,rmse,mae,r2,n
B0_station_mean,e1_r20_seed42,6.599899523898406,1.5017077640632137,0.2654325294087698,6610
B0_station_mean,e1_r20_seed43,3.1478631193719973,1.3921340105363014,0.5730884201183574,6610
B0_station_mean,e1_r20_seed44,4.464733890334174,1.4814824506771658,0.4408385656434398,6610
B0_station_mean,e1_r40_seed42,6.818363967332452,1.517951820037172,0.24038447222166848,13219
B0_station_mean,e1_r40_seed43,5.059808283443589,1.4647581377605474,0.37002950085322506,13219
B0_station_mean,e1_r40_seed44,4.173186514093086,1.4510844256741955,0.4589083897615146,13219
B0_station_mean,e1_r60_seed42,5.9160485795308055,1.5072009243595024,0.28857831890419594,19829
B0_station_mean,e1_r60_seed43,4.600531266276013,1.4610441310483984,0.4095625292881503,19829
B0_station_mean,e1_r60_seed44,5.341451021142438,1.4773592148464412,0.338660985888546,19829
B0_station_mean,e2_temporal,1.7293503755786406,1.137258447512378,0.24743341210851366,3184
B0_station_mean,e3_spatial,4.0049181710144985,2.0897571938064607,-0.06082643957728506,5068
B1_kriging,e1_r20_seed42,7.046097237184272,2.2078833167695078,0.16180152362494382,6591
B1_kriging,e1_r20_seed43,3.973918838792605,2.0417966948713975,0.3066891820613804,6585
B1_kriging,e1_r20_seed44,5.171396549108251,2.2305297756450995,0.24717567953413766,6591
B1_kriging,e1_r40_seed42,7.264392698020726,2.219856202334471,0.1335980859147663,13116
B1_kriging,e1_r40_seed43,5.68466085778878,2.1566189245722653,0.20064729547885962,13134
B1_kriging,e1_r40_seed44,4.988916485027155,2.188356708116193,0.21989018643509772,13116
B1_kriging,e1_r60_seed42,6.448123384764421,2.223475512715933,0.15187612203542578,19405
B1_kriging,e1_r60_seed43,5.3554842734068755,2.218210563291352,0.19187398753632978,19510
B1_kriging,e1_r60_seed44,6.032560314506082,2.2498537445616202,0.15159472942229935,19361
B1_kriging,e2_temporal,,,,0
B1_kriging,e3_spatial,3.2069407846169535,1.770758005477412,0.3132722648114221,5050
B2_random_forest,e1_r20_seed42,6.650970194348988,1.4551459784368677,0.2540202344529209,6610
B2_random_forest,e1_r20_seed43,3.0954150657374,1.350977051072275,0.5871958635924388,6610
B2_random_forest,e1_r20_seed44,4.4908686689416655,1.461678697589569,0.43427318833712736,6610
B2_random_forest,e1_r40_seed42,6.871036640368859,1.481872483946172,0.22860289960024083,13219
B2_random_forest,e1_r40_seed43,5.185093448466345,1.4324750109612665,0.3384460532368818,13219
B2_random_forest,e1_r40_seed44,4.117623409797737,1.4099220911041752,0.47322099423680497,13219
B2_random_forest,e1_r60_seed42,5.983240613025951,1.480550412869894,0.2723264826616121,19829
B2_random_forest,e1_r60_seed43,4.671285519650624,1.4419898921622458,0.39126150777005453,19829
B2_random_forest,e1_r60_seed44,5.339503709661758,1.4497378337202742,0.33914310144090265,19829
B2_random_forest,e2_temporal,1.7716672533679396,1.114872464004028,0.21015247138583204,3184
B2_random_forest,e3_spatial,3.673444245168637,2.060358630326379,0.1075087917822789,5068
B3_mlp,e1_r20_seed42,6.992494103792175,1.8678042252953362,0.17544190052724806,6610
B3_mlp,e1_r20_seed43,3.5928801825049463,1.777680512991779,0.44385027730025195,6610
B3_mlp,e1_r20_seed44,5.006006800174529,1.964328337170847,0.29704273634262635,6610
B3_mlp,e1_r40_seed42,7.181302884580052,1.9158959466209844,0.15736409289501585,13219
B3_mlp,e1_r40_seed43,5.530660381611108,1.820233224102992,0.24732746216190282,13219
B3_mlp,e1_r40_seed44,4.73556340191216,1.8470843124046556,0.30324752408367395,13219
B3_mlp,e1_r60_seed42,6.247659282909637,1.886888359664826,0.20658883469606337,19829
B3_mlp,e1_r60_seed43,5.139189870568072,1.8876349385285351,0.2632039915118184,19829
B3_mlp,e1_r60_seed44,5.794992699090128,1.8782793645602471,0.22158458264262337,19829
B3_mlp,e2_temporal,1.8860152176604563,1.3092068042235934,0.10490458425110527,3184
B3_mlp,e3_spatial,3.3638302696550286,1.8860120508361577,0.25161480055839003,5068
